username,comment,date,platform
6 tahun yang lalu,Yang nonton 2019 mana nih?,@senangitubaik681,youtube
6 tahun yang lalu,Malah jadi sowswit,@hendrikoto1891,youtube
6 tahun yang lalu,Neruneruson versi low budget :v,@ikhwal,youtube
7 tahun yang lalu,JojoBA,@zidanneuy9199,youtube
6 tahun yang lalu,Hmmm yang megang kamera itu cewek apa cowok tapi kelihatan dari suara nya cewek nih wkwkwkkw jawab bang Nelson siapa yang megang kamera itu cowok apa cewek,@oncom1768,youtube
6 tahun yang lalu,"Bang sebenernya itu gak tawar lho, abang kan udah makan banyak coklat tuh rasanya beda-beda kan? Ya itu karna semua coklatnya itu manis, cuma kalau kita makan manis terus habis itu makan yg manis juga pasti rasanya tawar:D",@rice6248,youtube
7 tahun yang lalu (diedit),Koq cuma bikin laper yak :v,@aisyah923,youtube
5 tahun yang lalu,Kalender nya samaa:v,@araadoang3395,youtube
5 tahun yang lalu,"Nelson kamu 2020 tidak bisa dapat  
Pacar sampai 2029",@arohilmjee4386,youtube
5 tahun yang lalu,Kak biken kok selalu membuatku senang,@khanzadiandra3517,youtube
6 tahun yang lalu (diedit),Aturan record nya di NeruNeruSon soalnya makan nan,@attahalilintar1728,youtube
7 tahun yang lalu,bang gua pernah beli di gramedia citra land mall,@fxiwandjangun903,youtube
6 tahun yang lalu,Mungkin rasa sayang bang Nelson hancur,@abdulghani6257,youtube
3 tahun yang lalu,"Ada yang nonton 2022?


Lagi ngapain bos",@mrbeansX-900,youtube
6 tahun yang lalu,aku baru tau kalo.video.ini di up pas gw lgi ultah anjir,@aryasatriaa,youtube
5 tahun yang lalu,Anjay coklat dari garut :v,@Intakkoyaki,youtube
5 tahun yang lalu,Aku cinta kamu nelsion ️️️️️️️️️️️,@alfafainsanmuliawan2270,youtube
7 tahun yang lalu,bang gimana perasaan lo jadi jojoba,@kocakgaming6313,youtube
6 tahun yang lalu,"Asli garut kalo g salah 
(chocodot)",@bivedgt,youtube
6 tahun yang lalu,2019 ok,@iqbalgilbranofficial7861,youtube
6 tahun yang lalu,Bang nelson lagu nya kayak nya pernah dengar si roblox baby simulator,@ekasyahrony9954,youtube
7 tahun yang lalu,2018?,@ikonlove1913,youtube
7 tahun yang lalu,"Bang Kalori Coklat Itu Banyak Loh
Nanti Abang Malah Tambah GENDUT
Jadi Diet Biar Kurus Ya",@BabyChibi,youtube
7 tahun yang lalu,Bang yang kamerain lu siapa bang?,@Lightness02,youtube
3 tahun yang lalu (diedit),anjayy,@Grønval,youtube
7 tahun yang lalu,siap bang,@bryanchristopher687,youtube
7 tahun yang lalu,Nelsooon,@Gilamen-cq4ek,youtube
7 tahun yang lalu,167 like 38xviews wow!!,@onmy_craft3044,youtube
5 tahun yang lalu,Gw tau kenapa abang masih belum dapat rasa sayang :V soalnya coklat rasa sayang yg abang banting itu menandakan abang telah membanting-banting rasa sayang abang sampe sampe rasa sayang abang hancur :V,@sepnopok1258,youtube
7 tahun yang lalu,FIRST,@bagas6881,youtube
7 tahun yang lalu,bang itu abang sama siapah,@sidikjaya4336,youtube
6 tahun yang lalu,Bang ada suara cewek pacar ya bang,@alika_chab2616,youtube
7 tahun yang lalu,Jones sih,@masterboygaming1734,youtube
6 tahun yang lalu,"Bang nelson kayak ada suara cewek siapa itu bang
??????",@muhammadraffa3289,youtube
6 tahun yang lalu,Bang Nelson udah punya pacar belum  cream,@zokigon142,youtube
4 tahun yang lalu (diedit),"2017: SOMEGA DAPET JODOH
2021: hampir dapet nih si sarah


Makasih untuk 0 like",@glovesadventure30yearago23,youtube
5 tahun yang lalu,"Bang reaksion gacha life dong~
Yg setuju like",@Mutia_official-tb4hh,youtube
7 tahun yang lalu,Kamu orang apa bang Nelson,@indahputrigachaarmy5274,youtube
6 tahun yang lalu,Dan sampe 2018 bang Nelson belum dapat jodoh :'),@dzakia89dyaz31,youtube
4 tahun yang lalu,Kukira selama ini gramedia toko buku :v,@safad6848,youtube
7 tahun yang lalu,Siapa nonton sebelum 100 Like,@martine8644,youtube
6 tahun yang lalu,Bang itu suara cewe .jangan jangan . pacar cieeee,@pandapowkwkwk3097,youtube
7 tahun yang lalu,Kakaknya ngiler gak bang :V,@ihsan88082,youtube
4 tahun yang lalu,Di gramedia memang ada permen dan coklat di dekat kasir.,@lndexiawebster6824,youtube
6 tahun yang lalu,Berarti banyak kegalauan ditanggal dan bulan lahir ku: v,@GanForger,youtube
7 tahun yang lalu,Minta,@manther_youber_geming6527,youtube
6 tahun yang lalu,"Enak jomblo kak dari pada sakit hati kakaknya kalo pacaran itu haram, bikin uang habis kakak (tapi aku cewek yang disakiti kak udah gak usah pacaran sama orang, sama aplikasi aja dah aku kembali jones dan kembali johap",@salsabillasanjaya9257,youtube
5 tahun yang lalu,Bang tau jomblo bang kalau makan coklat byk byk ntar sakit gigi jadi jelek gigi nya nanti siapa yg mau bang,@anderson-ye6oc,youtube
7 tahun yang lalu,Gramedia??????  Maksud?????,@ihsan88082,youtube
6 tahun yang lalu,Siapa yang megang hpnya .,@najwanaliyasir4077,youtube
6 tahun yang lalu,Aku udah beli ternyata enak lo.(bukan sombong plis ),@ainuntriwulandari6380,youtube
5 tahun yang lalu,Aku sudah pernah makan coklat itu,@fajarcahyonugroho819,youtube
7 tahun yang lalu,Anjay bang :V,@nebarisasi,youtube
7 tahun yang lalu,bang yang rekam itu pacarnyanya,@bobigantenggaming2084,youtube
5 tahun yang lalu,Ampe sekarang belom dpt jodoh wkwk,@stevandewo991,youtube
5 tahun yang lalu,Jomblo!!  kan jodoh ditangan yang kuasa,@nur_rahma_apriliyanti7788,youtube
5 tahun yang lalu,Manis kayak akuuu :3,@feibenayoan4032,youtube
5 tahun yang lalu,Si son pura-pura mati tapi vidios good juga ya selamat son biar 10000000subs ya,@yanamulyana6506,youtube
5 tahun yang lalu,Jadi pengen padahal puasa T_T,@heldalita952,youtube
5 tahun yang lalu,Kocak njeeer,@ikirman,youtube
5 tahun yang lalu,"Halo beacom cream aku fans sm kamu loh , aku umur 5tahun tiap Hari aku nontonin channel youtube kami, Salam dari jambi",@teddyjambi3211,youtube
6 tahun yang lalu,bang yang pegang kamera nya pacar abang kah tapi gak papa sih lan dari dulu abang mau pacar eaaa,@atsilahalfaraz7586,youtube
5 tahun yang lalu,Abang suara siapa itu,@ryanfakhriz1111,youtube
4 tahun yang lalu,Saya Vios lama bang bikin cream Saya nonton terus episode-nya,@naysillaadien6219,youtube
4 bulan yang lalu,Perfect cut,@SUPERZ-NinjaHandal,youtube
6 tahun yang lalu,Bang biar aku bantuin kaka dimana rumah kaka aku fans kak jadi aku pengen bantuin kaka team,@ekayuliana9165,youtube
5 tahun yang lalu,kak bikin video vr kak,@rehanaldi1796,youtube
6 tahun yang lalu,Oku doain bang biken dapat jodoh amin yang setuju like,@niaamaliatandibiringipa7922,youtube
5 tahun yang lalu,Chocodot itu bikinan khas garut,@guruyenihandayani3448,youtube
5 tahun yang lalu,Semua cholkat manis kaleee,@salsa3126,youtube
5 tahun yang lalu,coklat itu manis gak,@saralissa8360,youtube
5 tahun yang lalu,2 3 merasa sayang hantu jawab jawabannya adalah cinta diri sendiri,@suyantimayang3997,youtube
5 tahun yang lalu,Itu coklat dr garut,@tukijo1732,youtube
5 tahun yang lalu,ka beaconcream bikin giler tau lagi puwasa,@firasabdullah4050,youtube
6 tahun yang lalu,Bang kok di chanel beacon crean bukan di chanel neru neru son,@rafka505,youtube
4 tahun yang lalu,memang bang,@Rezania4758,youtube
6 tahun yang lalu,Nelson ganteng buat vidio mini world,@robigaming6643,youtube
5 tahun yang lalu,"Itu coklat khas Garut bg
Soalnya aku org Garut
Dan kalo abg ke toko dodol pasti ada yg jual coklat ituu",@nuranisa6830,youtube
5 tahun yang lalu,"Gw mau ngumpulin orang orang yang jomblo


Absen di Bawah y",@tktokfoodies3780,youtube
5 tahun yang lalu,Wkwkwkwk lucu kak,@ZuraaKazima,youtube
5 tahun yang lalu,Aku pernah beli di Cirebon Jawa barat di batik Trusmi Cirebon,@kartinijajang5311,youtube
