username,comment,date,platform
xxxman,😋🤤🤤🤤🤤🤤,7/27/2021,tiktok
sitifatimah35996,🍼🍼🍼,7/27/2021,tiktok
user8034010897679,😎😎😎😎😎😎,7/27/2021,tiktok
sss,😌,7/27/2021,tiktok
Syaaww,🥰🥰,7/27/2021,tiktok
dy,sond nya kaya nyndir,7/27/2021,tiktok
Greenteaaa,😏😏😏😏😏,7/27/2021,tiktok
user7935517180000,😇,7/26/2021,tiktok
albiganteng401,❤️❤️❤️❤️,7/26/2021,tiktok
𝕲𝖑𝖊𝖓𝖓,🥰,7/26/2021,tiktok
yn,orang garut bilang hadir,7/28/2021,tiktok
nananananay,heh lek didelok delok mirip nbl anjrot,7/27/2021,tiktok
★ 𓈒˚. 𝑘ℎ𝑎𝑎𝑎 🪐 ﾐ,Makan Sushi dong kak,7/27/2021,tiktok
-R,:buat kalian yang gak sengaja baca komentar ini semoga kalian sukses dan bisa banggain orang tua aminn.,7/26/2021,tiktok
anggun afia,kk suep dong kk🇸🇦🇵🇸🇵🇱 vs 🇮🇱,7/26/2021,tiktok
aurel,bg vidio Abang juga jadul😭,22-Jul,tiktok
EREN,kak 24 makan bakso beranak dong,11/16/2021,tiktok
I NEED YOU,ini sound nya,10/9/2021,tiktok
seso,beli cok la seperkuin bg,9/10/2021,tiktok
who saya?,soundnya GK pernah nyambung😏,8/29/2021,tiktok
nct,mau dong kak,8/28/2021,tiktok
itzzur_aq!l,unboxing permen jadul dong kak plissss🥺🥺🥺🥺,8/18/2021,tiktok
lino,mau dong,7/28/2021,tiktok
nayyaaa,"seneng sih liat konten dia tapi pas dia ngomong""let's go"" itu kek gimana gituu😂",7/27/2021,tiktok
syifa alatas♥︎,ka permen tic tac dong udah hampir punah aku suka banget dulu itu aku sering beli di alfamart🥺,7/26/2021,tiktok
✨🌛 Nadira putri 878🌜✨,https://chat.whatsapp.com/EWAvX0fGwha0d88NEQbAIM,7/26/2021,tiktok
antar_sari,bagi 2 dong pelissssssssssss🥰,7/26/2021,tiktok
BAMM IHI,ka coklat rokok dong🥺🥺🥺🥺🥺🥺🥺🥺,7/26/2021,tiktok
AMANDA21,yang folow gue folbek hah php GK dlu deh gue jujur kalo gak percaya coba aj dulu,7/27/2021,tiktok
renaldi f,kak sunat dong,7/27/2021,tiktok
ayayaa,Unboxing sambil nyindir orang yekann,7/27/2021,tiktok
Nakilaaaaa🍵🧊🫧,pliss dejavu,13-Jun,tiktok
(T ^ T),pepekaen ka nya anoooo😭😭😭😭😭😭😭😭😭,10/21/2022,tiktok
anakkedua0316,andok sing permen jabul,10/10/2021,tiktok
zaskiaputrikira97,unboxing mozzarela rumer plisss auto saling 100 m,8/31/2021,tiktok
RIIFA,unboxing kinerjoe,8/28/2021,tiktok
Rory Asmadi,unboxing pop it dong plisss😅,8/26/2021,tiktok
Jambrutzxyy?,enak k4yanya,7/29/2021,tiktok
awaaaaaaa,kak unboxing barang² jadul,7/27/2021,tiktok
frishila,sini atuh kak ke garut langsung ke pabrik nya,7/26/2021,tiktok
nada kumala aa sari,pasti enak tu🤤,7/26/2021,tiktok
syhvla,hi kak sapa donk🥺,7/26/2021,tiktok
css-1uxwbtk-SpanUserNameText,css-z35s28-PCommentText,css-ckdg7w-SpanCreatedTime,tiktok
Aoi Astia,wuhuuu ditunggu part 3,9/20/2022,tiktok
si zan,Gw orng garut dah biasa beli itu tar gw kirimin dodol garut deh,9/22/2022,tiktok
tau K ga,garut nihh,9/22/2022,tiktok
Sekarrrr,Garuttt✨✨✨,9/20/2022,tiktok
arifah_khusna√,Hai,9/21/2022,tiktok
αish¡,PART 3,9/22/2022,tiktok
Arswz,ada de ket rumah,9/23/2022,tiktok
sha,"OMGG, ketemu acc tt nya kak ciaaaaa",9/21/2022,tiktok
Windahadayah,pengen😔,4/26/2024,tiktok
lin 🍵,nunggu part 3,9/20/2022,tiktok
azaa,part 3,9/22/2022,tiktok
RAN,klo yg cabe itu kek saus kcf yg isi coklat ny 😂,9/22/2022,tiktok
lovelyw💗🙆🏻‍♀️,buatan Garut nih,9/22/2022,tiktok
leejenooo,aku udah nyobain itu semua!!!!!,9/23/2022,tiktok
RF32,main kegarut dongg,9/23/2022,tiktok
𝓜,garutt cokodot Deket rumah ww,9/22/2022,tiktok
Nla,👀,7-Aug,tiktok
dian,😂,3-Mar,tiktok
nthan⚡️,kirain,9/21/2022,tiktok
qwokk,wuhuuu di tunggu kita kelangkah yang lebih serius🌚,9/22/2022,tiktok
yupii,lidah nya gak cocok tapi menurut orang bandung apalagi garut enak bgt cokk beuhh hoyong😭😭😭,9/29/2022,tiktok
asha,cokelat nya ada yang rasa vanilla juga enk,9/22/2022,tiktok
جوناوان(GN),chokodot paling dabest tuh rasa oreo kak,9/21/2022,tiktok
SD SWASTA NI BOS SENGGOL DONG,kkk mau difolong dong plis,9/20/2022,tiktok
ig:shntsr_16,dari tahun 2009?? tpi udh 17 tahun🤦😅,5/26/2024,tiktok
YourEx,Eleuh mamihhh salam abi ge ti garut karangpawitan,5/25/2024,tiktok
c'alhafidz,mamii aku org garut tiap hari lewatt chocodot tapi te apal jerona kmha krek tauu ayna😭,7/4/2024,tiktok
piie,aku dkt bgttttt,5/26/2024,tiktok
lluvv.fauziah✨💫,chocodot nu dmna itu mamih Hanny?,5/26/2024,tiktok
D'faida,mamih aku nonton diciplas Garut 🥰🙏,5/25/2024,tiktok
hanz,mamihhhh,5/25/2024,tiktok
anya,ihh teu beja² ka garut teh😭,5/26/2024,tiktok
Dara💐,assalamualaikum...mamih🥰,5/25/2024,tiktok
DadangMulyanaChannel,Mamihunny sering sering donk syuting di Garut yahhh....,5/25/2024,tiktok
Sws0203,Mamih kegarut 😍,5/27/2024,tiktok
Rganiarty.,"Ketemu di Asia, dapat gift kerudung dari Kisera, makasi mamiiiih🥰",5/25/2024,tiktok
🌷dej4vuesss🌷,iih jadii pengen kalo berhenti di garut belinya chocodot😻,5/26/2024,tiktok
Novii🌺,mihh pengen di sapaa🥰🥰,5/25/2024,tiktok
