css-175oi2r_href,css-9pa8cd_src,css-1jxf684,css-1jxf684_2,css-1jxf684_3,r-4qtqp9_src_2,css-1jxf684_4,css-175oi2r_href_4,css-9pa8cd_src_2,css-175oi2r_href_5,css-1jxf684_5,css-1jxf684_6,css-1jxf684_7,css-1jxf684_8,css-1jxf684_9,css-1jxf684_10,css-1jxf684_11,css-146c3p1_href,css-146c3p1,r-1p0dtai_src,unnamed:_20,unnamed:_21,unnamed:_22,unnamed:_23,unnamed:_24,unnamed:_25,unnamed:_26,unnamed:_27,unnamed:_28
Nɑthɑlie.,https://x.com/realicstic,https://pbs.twimg.com/profile_images/1957405240594173953/wwjGr-Pr_bigger.png,https://x.com/realicstic,@realicstic,·,19 Agt,Thanks Indonesia for blessing us with SEBLAK and,https://abs-0.twimg.com/emoji/v2/svg/1f970.svg,https://x.com/realicstic/status/1957653043186733287,BASO,ACI,.,https://abs-0.twimg.com/emoji/v2/svg/1f970.svg,https://abs-0.twimg.com/emoji/v2/svg/1f970.svg,https://x.com/realicstic/status/1957653043186733287/photo/1,https://pbs.twimg.com/media/Gyr7EDUacAMSrii?format=jpg&name=900x900,https://x.com/realicstic/status/1957653043186733287/photo/2,https://pbs.twimg.com/media/Gyr7EDTasAAmZ6S?format=jpg&name=900x900,Kutipan,Txt dari Kuliner,@txtdrkuliner,18 Agt,2,6,11,https://x.com/realicstic/status/1957653043186733287/analytics,3 rb,
Pikachu,https://x.com/itsufika,https://pbs.twimg.com/profile_images/1856392971161329664/Xn2EBtJa_bigger.jpg,https://x.com/itsufika,@itsufika,·,18 Agt,In this economy… nemu,https://abs-0.twimg.com/emoji/v2/svg/1f62d.svg,https://x.com/itsufika/status/1957327463954231760,baso,aci,"isian lengkap banget cuma 13k, mana packagingnya juaraa",https://abs-0.twimg.com/emoji/v2/svg/2728.svg,https://abs-0.twimg.com/emoji/v2/svg/1f525.svg,https://x.com/itsufika/status/1957327463954231760/photo/1,https://pbs.twimg.com/media/GynS8h-acAAGJym?format=jpg&name=small,https://x.com/itsufika/status/1957327463954231760/photo/2,https://pbs.twimg.com/media/GynS8iJboAAS0lO?format=jpg&name=small,"Yang jumbo ada isian ayam suwir sama jando, kuahnya seger pedes asem gurih—mantep banget euy!",,,,46,74,162,https://x.com/itsufika/status/1957327463954231760/analytics,5 rb,
Dew,https://x.com/hotdeestuffs,https://pbs.twimg.com/profile_images/1938819670775341058/3f3eWevY_bigger.jpg,https://x.com/hotdeestuffs,@hotdeestuffs,·,1 Agt,,https://abs-0.twimg.com/emoji/v2/svg/1f924.svg,https://x.com/hotdeestuffs/status/1951262521752690988,Baso,aci,ter-ENAK yang selalu aku repurchase:,,,https://x.com/hotdeestuffs/status/1951262521752690988/photo/1,https://pbs.twimg.com/media/GxRG6AVaIAYylGK?format=jpg&name=small,https://x.com/hotdeestuffs/status/1951262521752690988/photo/2,https://pbs.twimg.com/media/GxRG6AaacAAUAeV?format=jpg&name=small,Jomblo kuah taichan,Baso,Aci,,1,4,,https://x.com/hotdeestuffs/status/1951262521752690988/analytics,464,
shortcake,https://x.com/yangbiiii,https://pbs.twimg.com/profile_images/1957403258387120128/2DLHGrt9_bigger.jpg,https://x.com/yangbiiii,@yangbiiii,·,5 Agt,C0bain,,https://x.com/yangbiiii/status/1952662962369421600,baso,aci,beli ditok2,,,https://x.com/yangbiiii/status/1952662962369421600/photo/1,https://pbs.twimg.com/media/GxlAj9jagAANGlz?format=jpg&name=small,https://x.com/yangbiiii/status/1952662962369421600/photo/2,https://pbs.twimg.com/media/GxlAkaibAAAF5ET?format=jpg&name=small,,,,,3,5,,https://x.com/yangbiiii/status/1952662962369421600/analytics,222,
JUAL BASO ACI KHAS GARUT,https://x.com/ngenyanginbyer,https://pbs.twimg.com/profile_images/1892177185588563968/cBDXk73z_bigger.jpg,https://x.com/ngenyanginbyer,@ngenyanginbyer,·,7 Agt,"hai temen temen X 

udah pada cobain",https://abs-0.twimg.com/emoji/v2/svg/1f92d.svg,https://x.com/ngenyanginbyer/status/1953411199884009582,baso,aci,khas garut belum? disini aku jual yaaa cuman 11rb aja lhoo!,https://abs-0.twimg.com/emoji/v2/svg/1f606.svg,https://abs-0.twimg.com/emoji/v2/svg/1f917.svg,https://x.com/ngenyanginbyer/status/1953411199884009582/photo/1,https://pbs.twimg.com/media/GxvpIQFaUAALufs?format=jpg&name=small,https://x.com/ngenyanginbyer/status/1953411199884009582/photo/2,https://pbs.twimg.com/media/GxvpIitbkAARxKz?format=jpg&name=900x900,"bisa kirim ke luar kota lhoo, gratis ongkirrr juga lewat syopi",komunitas murah-murah,,,1,,,https://x.com/ngenyanginbyer/status/1953411199884009582/analytics,97,
mi ⪩⪨,https://x.com/intrped,https://pbs.twimg.com/profile_images/1958066369381138432/vb8n91P__bigger.jpg,https://x.com/intrped,@intrped,·,21j,urat dan,https://abs-0.twimg.com/emoji/v2/svg/1f91d-1f3fb.svg,https://x.com/intrped/status/1958066822487343162,baso,baso,again,https://abs-0.twimg.com/emoji/v2/svg/1f497.svg,,https://x.com/intrped/status/1958066822487343162/photo/1,https://pbs.twimg.com/media/GyxzZKFacAIOlBh?format=jpg&name=900x900,,,#fattzar,aci,#fattrose,,18,,,https://x.com/intrped/status/1958066822487343162/analytics,559,
komunitas murah-murah,https://x.com/ngenyanginbyer,https://pbs.twimg.com/profile_images/1892177185588563968/cBDXk73z_bigger.jpg,https://x.com/ngenyanginbyer,JUAL BASO ACI KHAS GARUT,@ngenyanginbyer,7 Agt,·,https://abs-0.twimg.com/emoji/v2/svg/1f92d.svg,https://x.com/i/communities/1771067849236512927,"hai temen temen X 

udah pada cobain",baso,aci,https://abs-0.twimg.com/emoji/v2/svg/1f606.svg,https://abs-0.twimg.com/emoji/v2/svg/1f917.svg,https://x.com/ngenyanginbyer/status/1953411199884009582/photo/1,https://pbs.twimg.com/media/GxvpIQFaUAALufs?format=jpg&name=small,https://x.com/ngenyanginbyer/status/1953411199884009582/photo/2,https://pbs.twimg.com/media/GxvpIitbkAARxKz?format=jpg&name=900x900,khas garut belum? disini aku jual yaaa cuman 11rb aja lhoo!,"bisa kirim ke luar kota lhoo, gratis ongkirrr juga lewat syopi",jajan yu,,,,,,,
santoz pati,https://x.com/Ngethuwel1,https://pbs.twimg.com/profile_images/1705798841180786688/DfmzFm6N_bigger.jpg,https://x.com/Ngethuwel1,@Ngethuwel1,·,1j,"Assalamualaikum 
Bismillahirrahmanirrahim",,https://x.com/Ngethuwel1/status/1958374971941724484,Baso,aci,,,,https://x.com/Ngethuwel1/status/1958374971941724484/photo/1,https://pbs.twimg.com/media/Gy2LqGQb0AAA6Xs?format=jpg&name=900x900,,,,,,,,,,https://x.com/Ngethuwel1/status/1958374971941724484/analytics,2,
sar ☆,https://x.com/fiorettalgi,https://pbs.twimg.com/profile_images/1916364290426343459/i59tMnPO_bigger.jpg,https://x.com/fiorettalgi,@fiorettalgi,·,16 Agt,,https://abs-0.twimg.com/emoji/v2/svg/1f62d.svg,https://x.com/fiorettalgi/status/1956587911601901870,baso,aci,yg kusuka skrg ada kejunya,https://abs-0.twimg.com/emoji/v2/svg/2764.svg,https://abs-0.twimg.com/emoji/v2/svg/2764.svg,https://help.x.com/rules-and-policies/authenticity,https://abs.twimg.com/responsive-web/client-web/parody-mask.92274f0a.svg,https://x.com/fiorettalgi/status/1956587911601901870/photo/1,https://pbs.twimg.com/media/GycyVitbwAATq81?format=jpg&name=medium,,,,,4,4,,https://x.com/fiorettalgi/status/1956587911601901870/analytics,166,
GUIS,https://x.com/FOOD_FESS,https://pbs.twimg.com/profile_images/1475459335706726401/hqyNcS9F_bigger.jpg,https://x.com/FOOD_FESS,@FOOD_FESS,·,6 Agt,,https://abs-0.twimg.com/emoji/v2/svg/1f924.svg,https://x.com/FOOD_FESS/status/1953045919047303362,baso,aci,"khas garut 11rb an aja, gratong ke luar kota via tokren! guis",https://abs-0.twimg.com/emoji/v2/svg/1f4cd.svg,,https://x.com/FOOD_FESS/status/1953045919047303362/photo/1,https://pbs.twimg.com/media/Gxqc6bRWMAAzVjF?format=jpg&name=900x900,,,garut,,Otomatis,,1,2,23,https://x.com/FOOD_FESS/status/1953045919047303362/analytics,6 rb,
