css-175oi2r_href,css-9pa8cd_src,css-175oi2r_href_2,css-1jxf684,css-1jxf684_2,css-1jxf684_3,css-175oi2r_href_5,css-175oi2r_href_6,css-1jxf684_4,css-1jxf684_5,css-1jxf684_6,css-1jxf684_8,css-146c3p1_href,css-146c3p1,r-4qtqp9_src
https://x.com/3Cahyono_,https://pbs.twimg.com/profile_images/1219791433470705666/p0MEgp2J_bigger.jpg,https://x.com/3Cahyono_,Pendodol Omongan,@3Cahyono_,·,https://x.com/3Cahyono_/status/1638712289951125505/analytics,,Piroan moas?,,,369,https://x.com/3Cahyono_/status/1638712289951125505,23 Mar 2023,
https://x.com/doublelya12,https://pbs.twimg.com/profile_images/1810367097706524674/o6zn8w6r_bigger.jpg,https://x.com/doublelya12,Doublelya12,@doublelya12,·,https://x.com/doublelya12/status/1639035001772867585/analytics,,"Tapi kata warga garut jalannya rusak pa, hehe",,,186,https://x.com/doublelya12/status/1639035001772867585,24 Mar 2023,
https://x.com/mpsap__,https://pbs.twimg.com/profile_images/1934915781072207872/xvgZ8He0_bigger.jpg,https://x.com/mpsap__,Apin,@mpsap__,·,https://x.com/mpsap__/status/1638672920800276480/analytics,,"Di balik indahnya industri kulit di Garut,pengolahan limbahnya amburadul.",,,461,https://x.com/mpsap__/status/1638672920800276480,23 Mar 2023,https://abs-0.twimg.com/emoji/v2/svg/2716.svg
https://x.com/FeryMohamad08,https://pbs.twimg.com/profile_images/1117758466930569217/3xWMSU8e_bigger.jpg,https://x.com/FeryMohamad08,Fery Mohamad,@FeryMohamad08,·,https://x.com/FeryMohamad08/status/1638476873842954240/analytics,,Garut the best pokoknya,,,1 rb,https://x.com/FeryMohamad08/status/1638476873842954240,22 Mar 2023,
https://x.com/lemak__jenuh,https://pbs.twimg.com/profile_images/1958150152386215936/2TjkFCt__bigger.jpg,https://x.com/lemak__jenuh,D E J R,@lemak__jenuh,·,https://x.com/lemak__jenuh/status/1638807430753837056/analytics,,Ada marketplacenya kah?,1,,139,https://x.com/lemak__jenuh/status/1638807430753837056,23 Mar 2023,
https://x.com/kang_opit,https://pbs.twimg.com/profile_images/1788235560425025536/ykC-Tsdi_bigger.jpg,https://x.com/kang_opit,The Dzikr 4.0,@kang_opit,·,https://x.com/kang_opit/status/1638803522253889539/analytics,,Deket rumah ini mas,,,98,https://x.com/kang_opit/status/1638803522253889539,23 Mar 2023,https://abs-0.twimg.com/emoji/v2/svg/1f1ee-1f1e9.svg
https://x.com/Putra70487911,https://pbs.twimg.com/profile_images/1725678826552983552/O-nU5T-P_bigger.jpg,https://x.com/Putra70487911,PutradaSpurs,@Putra70487911,·,https://x.com/Putra70487911/status/1638755058711158784/analytics,,Sy yg keturunan garut malah blm pernah kesana,,,261,https://x.com/Putra70487911/status/1638755058711158784,23 Mar 2023,https://abs-0.twimg.com/emoji/v2/svg/1f923.svg
https://x.com/akmalabidzar,https://pbs.twimg.com/profile_images/1131935331245207552/wNFJwQ3r_bigger.jpg,https://x.com/akmalabidzar,akmal,@akmalabidzar,·,https://x.com/akmalabidzar/status/1638477571053715456/analytics,,Kenapa g bikin sarung jok mobil y,,,986,https://x.com/akmalabidzar/status/1638477571053715456,22 Mar 2023,
https://x.com/AIADigibuy,https://pbs.twimg.com/profile_images/1603542769535897601/Mb-y16Im_bigger.jpg,https://x.com/AIADigibuy,Enita Robentrop,@AIADigibuy,·,https://x.com/AIADigibuy/status/1638656468068220933/analytics,,Cari jaker kulit bulu domba garut sekelas,,,369,https://x.com/AIADigibuy/status/1638656468068220933,23 Mar 2023,
https://x.com/sumewo,https://pbs.twimg.com/profile_images/1457267725659611140/vZp6PLyg_bigger.jpg,https://x.com/sumewo,MEWO,@sumewo,·,https://x.com/sumewo/status/1638759244794306562/analytics,,Baroonnn... :)),,,188,https://x.com/sumewo/status/1638759244794306562,23 Mar 2023,
https://x.com/yanuariant,https://pbs.twimg.com/profile_images/1631714548741976064/7cIKwgdy_bigger.jpg,https://x.com/yanuariant,~Yan,@yanuariant,·,https://x.com/yanuariant/status/1639072588889731074/analytics,,"wah, udah lama pengen nyoba keretaan ke garut",,,79,https://x.com/yanuariant/status/1639072588889731074,24 Mar 2023,
https://x.com/ViddyFebrianto,https://pbs.twimg.com/profile_images/1894402457721282560/ZcEvlks__bigger.jpg,https://x.com/ViddyFebrianto,Viddy,@ViddyFebrianto,·,https://x.com/ViddyFebrianto/status/1638669085650341888/analytics,,jaket kulit nya alus,,,360,https://x.com/ViddyFebrianto/status/1638669085650341888,23 Mar 2023,
https://x.com/indomidclass,https://pbs.twimg.com/profile_images/1389721031661604864/hx_5Dq-Z_bigger.jpg,https://x.com/indomidclass,oggy without the cockroaches,@indomidclass,·,https://x.com/indomidclass/status/1638746769021607936/analytics,,dikasih logo,,,369,https://x.com/indomidclass/status/1638746769021607936,23 Mar 2023,
https://x.com/sakulawu,https://pbs.twimg.com/profile_images/1386101269371101188/rsalP3j2_bigger.jpg,https://x.com/sakulawu,Musdamin,@sakulawu,·,https://x.com/sakulawu/status/1638750131532238848/analytics,,Ada akun ig produsennya..?,,,168,https://x.com/sakulawu/status/1638750131532238848,23 Mar 2023,
https://x.com/HendraRottens,https://pbs.twimg.com/profile_images/514036878056497152/-t7_YLi-_bigger.jpeg,https://x.com/HendraRottens,Hen_dra,@HendraRottens,·,https://x.com/HendraRottens/status/1638865848797646849/analytics,,"Sukaregang ya pak?
Memang bagus2 dan murah2. Jgn lupa, sepatu/sandalnya langsung di sol ulang. Biar lebih kuat mantap.",,,120,https://x.com/HendraRottens/status/1638865848797646849,23 Mar 2023,
https://x.com/mbaksrintil,https://pbs.twimg.com/profile_images/1741810497794797569/c9PPEx4P_bigger.jpg,https://x.com/mbaksrintil,Mbak Sri,@mbaksrintil,·,https://x.com/mbaksrintil/status/1638491863421456384/analytics,,"Beli sepatu kulit produk garut cuma 200ribuan, pak",,,1 rb,https://x.com/mbaksrintil/status/1638491863421456384,22 Mar 2023,
https://x.com/dank_shanu,https://pbs.twimg.com/profile_images/1670430060426457088/9Pab2TwM_bigger.jpg,https://x.com/dank_shanu,Sanusiiiiii,@dank_shanu,·,https://x.com/dank_shanu/status/1638794249662767104/analytics,,Pasar Sukaregang ini mantepp,,,108,https://x.com/dank_shanu/status/1638794249662767104,23 Mar 2023,https://abs-0.twimg.com/emoji/v2/svg/1f601.svg
https://x.com/just3mi,https://pbs.twimg.com/profile_images/1877366392590315520/ZuEORIb__bigger.jpg,https://x.com/just3mi,ابن جعفر,@just3mi,·,https://x.com/just3mi/status/1638821994325250050/analytics,,"Sdh 3x ke garut, nyampenya pertokoan pinggir jalan aja, taunya ada pasar nya... Btw dl beli 2 jaket kulit, sdh 7 th masih awet...",,,189,https://x.com/just3mi/status/1638821994325250050,23 Mar 2023,
https://x.com/Gilangk50165550,https://pbs.twimg.com/profile_images/1014856557878624257/5kJECMPp_bigger.jpg,https://x.com/Gilangk50165550,Gilangkencana,@Gilangk50165550,·,https://x.com/Gilangk50165550/status/1638835486981771268/analytics,,Dulu pernah beli sepatu dipake tiap hari sampe boseeeenn masih awet aja,,,112,https://x.com/Gilangk50165550/status/1638835486981771268,23 Mar 2023,
https://x.com/YusronM,https://pbs.twimg.com/profile_images/1595700618810662912/oJJ5nhGN_bigger.jpg,https://x.com/YusronM,Muhammad Yusron,@YusronM,·,https://x.com/YusronM/status/1638852393499783169/analytics,,Beli tas slempang murah pake kulit domba disini mantep awet pisan sampe sekarang uda 2taunan gak ada yg ngelotok sama sekali,,,14,https://x.com/YusronM/status/1638852393499783169,23 Mar 2023,
